,dataset,graph,representation,index,train accuracy,validation accuracy
200,CodeNetBestSeqsSBLP2021_TVT,cfgcallnoroot,all_features_ir2vec_O0,round2,0.8186666369438171,0.8799999952316284
201,CodeNetBestSeqsSBLP2021_TVT,inst2vec,all_features_O0,round2,0.9773333072662354,0.9580000042915344
202,CodeNetBestSeqsSBLP2021_TVT,lbp,all_features_O0,round2,0.7260000109672546,0.7960000038146973
203,CodeNetBestSeqsSBLP2021_TVT,cdfgplusnoroot,all_features_inst2vec_O0,round2,0.5426666736602783,0.6460000276565552
204,CodeNetBestSeqsSBLP2021_TVT,cdfgplusnoroot,all_features_bag_of_words_O0,round2,0.6386666893959045,0.7860000133514404
205,CodeNetBestSeqsSBLP2021_TVT,cdfgplusnoroot,all_features_ir2vec_O0,round2,0.7773333191871643,0.8220000267028809
206,CodeNetBestSeqsSBLP2021_TVT,milepost,all_features_O0,round2,0.9340000152587891,0.9359999895095825
207,CodeNetBestSeqsSBLP2021_TVT,cdfgcallnoroot,all_features_inst2vec_O0,round2,0.8246666789054871,0.8199999928474426
208,CodeNetBestSeqsSBLP2021_TVT,cdfgcallnoroot,all_features_bag_of_words_O0,round2,0.8640000224113464,0.8840000033378601
209,CodeNetBestSeqsSBLP2021_TVT,cdfgcallnoroot,all_features_ir2vec_O0,round2,0.8859999775886536,0.8999999761581421
210,CodeNetBestSeqsSBLP2021_TVT,programlnoroot,all_features_inst2vec_O0,round1,0.737333357334137,0.7739999890327454
211,CodeNetBestSeqsSBLP2021_TVT,programlnoroot,all_features_bag_of_words_O0,round1,0.8080000281333923,0.8479999899864197
212,CodeNetBestSeqsSBLP2021_TVT,programlnoroot,all_features_ir2vec_O0,round1,0.8573333621025085,0.8740000128746033
213,CodeNetBestSeqsSBLP2021_TVT,cfgcallcompact1enoroot,all_features_inst2vec_O0,round1,0.8946666717529297,0.9300000071525574
214,CodeNetBestSeqsSBLP2021_TVT,cfgcallcompact1enoroot,all_features_bag_of_words_O0,round1,0.874666690826416,0.9020000100135803
215,CodeNetBestSeqsSBLP2021_TVT,cfgcallcompact1enoroot,all_features_ir2vec_O0,round1,0.8679999709129333,0.8880000114440918
216,CodeNetBestSeqsSBLP2021_TVT,llvm_histogram,all_features_O0,round1,0.9633333086967468,0.9639999866485596
217,CodeNetBestSeqsSBLP2021_TVT,rbp,all_features_O0,round1,0.4673333466053009,0.6259999871253967
218,CodeNetBestSeqsSBLP2021_TVT,ir2vec.program,all_features_O0,round1,0.9566666483879089,0.9620000123977661
219,CodeNetBestSeqsSBLP2021_TVT,prog2image,all_features_O0,round1,0.9980000257492065,0.9259999990463257
220,CodeNetBestSeqsSBLP2021_TVT,inst2vec.lower,all_features_O0,round1,0.828000009059906,0.921999990940094
221,CodeNetBestSeqsSBLP2021_TVT,cdfgcallcompact1enoroot,all_features_inst2vec_O0,round1,0.8926666378974915,0.9079999923706055
222,CodeNetBestSeqsSBLP2021_TVT,cdfgcallcompact1enoroot,all_features_bag_of_words_O0,round1,0.8986666798591614,0.921999990940094
223,CodeNetBestSeqsSBLP2021_TVT,cdfgcallcompact1enoroot,all_features_ir2vec_O0,round1,0.8360000252723694,0.8799999952316284
224,CodeNetBestSeqsSBLP2021_TVT,cfgcallnoroot,all_features_inst2vec_O0,round1,0.9013333320617676,0.9319999814033508
225,CodeNetBestSeqsSBLP2021_TVT,cfgcallnoroot,all_features_bag_of_words_O0,round1,0.5766666531562805,0.6779999732971191
